Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre la capacidad máxima;PIRINEO ORIENTAL;84.5;71.4;51.7;56.1;54.0;32.3;29.4;23.2;34.3;73.0;77.3;89.8
% Humedad del suelo sobre la capacidad máxima;NORTE Y NOROESTE;100.0;87.7;79.0;90.6;68.8;63.5;47.9;40.2;48.6;94.4;100.0;96.6
% Humedad del suelo sobre la capacidad máxima;DUERO;81.3;68.1;50.9;62.3;32.6;21.1;14.0;12.4;19.0;45.6;79.3;92.4
% Humedad del suelo sobre la capacidad máxima;TAJO;74.2;57.6;40.4;61.7;25.2;9.1;3.9;7.0;17.8;29.5;62.9;84.0
% Humedad del suelo sobre la capacidad máxima;GUADIANA;70.7;54.8;38.0;54.1;20.5;6.7;2.2;2.5;10.0;16.2;49.0;77.2
% Humedad del suelo sobre la capacidad máxima;GUADALQUIVIR;82.6;63.8;45.1;57.6;22.6;8.7;3.4;2.8;14.3;16.4;55.8;81.7
% Humedad del suelo sobre la capacidad máxima;SUR;60.3;46.6;36.4;45.4;16.8;6.3;2.3;1.2;27.1;23.6;44.7;59.0
% Humedad del suelo sobre la capacidad máxima;SEGURA;45.7;36.3;31.5;68.0;33.4;14.0;5.7;8.2;56.3;48.9;48.4;60.0
% Humedad del suelo sobre la capacidad máxima;JÚCAR;61.2;48.6;44.3;76.1;42.7;18.4;9.6;15.4;37.7;40.2;47.1;65.9
% Humedad del suelo sobre la capacidad máxima;EBRO;80.1;67.1;51.1;59.9;49.5;26.9;22.6;23.8;24.5;48.5;68.0;74.5
